"","lneconaid","l.physint","l.polity2","l.lneconaid","l.lnrgdp","l.lnpop","colony","recep","donor"
"1",0,8,-7,0,6.78055810928345,10.1250591278076,0,"Afghanistan","Australia"
"3",0,3,5,0,8.08874607086182,8.1482982635498,0,"Albania","Australia"
"4",0,8,-3,0,8.63241672515869,10.3302717208862,0,"Algeria","Australia"
"7",0,6,-3,0,7.54266405105591,9.2034273147583,0,"Angola","Australia"
"10",0.523031771183014,4,8,0,9.35757732391357,10.5206661224365,0,"Argentina","Australia"
"11",0,2,5,0,8.06196308135986,8.117995262146,0,"Armenia","Australia"
"14",0,1,10,0,10.1524295806885,9.84406089782715,0,"Australia","Australia"
"15",0,1,10,0,10.1701173782349,8.99841403961182,0,"Austria","Australia"
"16",0,3,-7,0,8.05531311035156,8.95275115966797,0,"Azerbaijan","Australia"
"18",0,3,-9,0,9.80116176605225,6.43395233154297,0,"Bahrain","Australia"
"19",2.65568041801453,4,6,1.79369735717773,7.49559736251831,11.7593421936035,0,"Bangladesh","Australia"
"21",0,3,-7,0,9.13955307006836,9.24786472320557,0,"Belarus (Byelorussia)","Australia"
"22",0,1,10,0,10.0771589279175,9.2373514175415,0,"Belgium","Australia"
"24",0,0,6,0,7.10825252532959,8.73715686798096,0,"Benin","Australia"
"26",3.71798849105835,3,-8,0.980006873607635,6.70122289657593,7.58153629302979,0,"Bhutan","Australia"
"28",2.77725267410278,1,9,0,7.97766304016113,8.9874382019043,0,"Bolivia","Australia"
"30",0,1,9,0,8.75113868713379,7.35820007324219,0,"Botswana","Australia"
"31",0.335430473089218,4,8,0.417764902114868,8.85618114471436,12.0627431869507,0,"Brazil","Australia"
"33",0,3,8,0,8.81994915008545,8.9737606048584,0,"Bulgaria","Australia"
"34",0,2,-4,0,6.81341171264648,9.38339996337891,0,"Burkina Faso (Upper Volta)","Australia"
"35",0,7,-1,0,6.71372127532959,8.6311092376709,0,"Burundi","Australia"
"36",6.69959115982056,5,2,7.26430559158325,7.78129291534424,9.58019542694092,0,"Cambodia (Kampuchea)","Australia"
"37",0,6,-4,0,6.16724395751953,10.3403549194336,0,"Cameroon","Australia"
"38",0,0,10,0,10.1530771255493,10.3222408294678,0,"Canada","Australia"
"41",0,3,5,0,6.83012866973877,8.14394187927246,0,"Central African Republic","Australia"
"42",1.89267933368683,5,-2,0,6.78153419494629,9.00508689880371,0,"Chad","Australia"
"43",0.869184911251068,4,8,0,9.3181324005127,9.6140832901001,0,"Chile","Australia"
"44",3.63559722900391,6,-7,2.38284635543823,8.21372318267822,14.040864944458,0,"China","Australia"
"45",0.828773081302643,7,7,0,8.70695018768311,10.5717296600342,0,"Colombia","Australia"
"47",0,8,-6,0,7.32119512557983,7.92201471328735,0,"Congo","Australia"
"50",0,1,10,0,9.02689075469971,8.20174789428711,0,"Costa Rica","Australia"
"51",0.417415201663971,5,-1,0,7.68453121185303,9.64697742462158,0,"Cote D'Ivoire","Australia"
"52",0.466202110052109,1,1,0,9.06056213378906,8.41877937316895,0,"Croatia","Australia"
"53",0,4,-7,1.20963454246521,8.60795497894287,9.31314468383789,0,"Cuba","Australia"
"54",0,1,10,0,9.89546680450439,6.62498092651367,0,"Cyprus","Australia"
"55",0,0,10,0,9.48868846893311,9.23805713653564,0,"Czech Republic","Australia"
"56",0,0,10,0,10.2000150680542,8.57885456085205,0,"Denmark","Australia"
"59",0,4,8,0,8.72762775421143,9.0155668258667,0,"Dominican Republic","Australia"
"61",0,5,9,0,8.37573051452637,9.4458703994751,0,"Ecuador","Australia"
"62",4.79067993164062,5,-6,4.10904026031494,8.39500713348389,11.1428279876709,0,"Egypt","Australia"
"63",0.445929795503616,3,7,0,8.45717144012451,8.70090675354004,0,"El Salvador","Australia"
"65",0,4,-6,0,6.33687877655029,8.343825340271,0,"Eritrea","Australia"
